Asset,FUTURES,ASSET_CLASS
CN,CANADA 10-YEAR BOND,BOND
DU,EURO SCHATZ,BOND
FV,US 5-YEAR NOTE,BOND
G ,LONG GILT,BOND
JB,JAPAN 10-YEAR BOND,BOND
OE,EURO BOBL,BOND
RX,EURO BUND,BOND
TU,US 2-YEAR NOTE,BOND
TY,US 10-YEAR NOTE,BOND
UB,EURO BUXL,BOND
US,US LONG BOND,BOND
XM,AUSTRALIA 10-YEAR BOND,BOND
YM,AUSTRALIA 3-YEAR BOND,BOND
AD,AUSTRALIAN DOLLAR,CURRENCIES
BP,UK,CURRENCIES
CD,CANADIAN DOLLAR,CURRENCIES
EC,EURO,CURRENCIES
JY,JAPANESE YEN,CURRENCIES
NO,NORWAY,CURRENCIES
NV,NEW ZEALAND,CURRENCIES
SE,SWEDEN,CURRENCIES
SF,SWITZERLAND,CURRENCIES
Z ,FTSE 100 (UK),EQUITY INDEXES
CF,CAC 40 (FRANCE),EQUITY INDEXES
EO,AEX (NETHERLANDS),EQUITY INDEXES
ES,S&P 500 (US),EQUITY INDEXES
GX,DAX (GERMANY),EQUITY INDEXES
IB,IBEX 35 (SPAIN),EQUITY INDEXES
ST,FTSE/MIB (ITALY),EQUITY INDEXES
TP,TOPIX (JAPAN),EQUITY INDEXES
XP,SPI 200 (AUSTRALIA),EQUITY INDEXES
BO,SOY OIL,COMMODITIES
C ,CORN,COMMODITIES
CC,COCOA,COMMODITIES
CL,WTI CRUDE,COMMODITIES
CO,BRENT CRUDE,COMMODITIES
CT,COTTON,COMMODITIES
GC,GOLD,COMMODITIES
HO,HEATING OIL,COMMODITIES
JA,PLATINUM,COMMODITIES
KC,COFFEE,COMMODITIES
LA,ALUMINIUM,COMMODITIES
LC,LIVE CATTLE,COMMODITIES
LH,LEAN HOGS,COMMODITIES
LN,NICKEL,COMMODITIES
LP,COPPER,COMMODITIES
LX,ZINC,COMMODITIES
NG,NATURAL GAS,COMMODITIES
QS,GASOIL,COMMODITIES
S ,SOYBEANS,COMMODITIES
SB,SUGAR,COMMODITIES
SI,SILVER,COMMODITIES
SM,SOY MEAL,COMMODITIES
W ,WHEAT,COMMODITIES
XB,RBOB GASOLINE,COMMODITIES
